ModuleCode,ModuleTitle,SessionName,RollNumber,ApplicantName,ApplicantMobile,CGPA,AttemptCount,Advisor,RemoteStudent,Probation,HighRisk,TermExceeded,AtRisk,AtRiskSSC,SpecialNeed,OtherModules,PrerequisiteModules,PlagiarismHistory,MalPracticeHistory
Module 5,Course 5,Session-B,Student 57,xxxxxxxxxx,xxxxxxxx,2.25,1,Advisor 16,No,No,No,No,No,No,Not Applicable(Not Disable),2,Yes,No History,No History
Module 5,Course 5,Session-B,Student 58,xxxxxxxxxx,xxxxxxxx,2.25,1,Advisor 7,No,No,No,No,No,No,Not Applicable(Not Disable),3,Yes,No History,No History
Module 5,Course 5,Session-B,Student 59,xxxxxxxxxx,xxxxxxxx,1.75,1,Advisor 12,No,No,No,No,No,No,Not Applicable(Not Disable),3,Yes,Module 20,No History
Module 5,Course 5,Session-B,Student 60,xxxxxxxxxx,xxxxxxxx,1.75,1,Advisor 22,No,No,Yes,No,Yes,No,Not Applicable(Not Disable),3,Yes,Module 13,Module 22
Module 5,Course 5,Session-B,Student 61,xxxxxxxxxx,xxxxxxxx,2.75,1,Advisor 17,No,No,No,No,No,No,Not Applicable(Not Disable),2,Yes,No History,No History
Module 5,Course 5,Session-B,Student 62,xxxxxxxxxx,xxxxxxxx,2.25,1,Advisor 9,No,No,No,No,No,No,Not Applicable(Not Disable),3,Yes,No History,No History
Module 5,Course 5,Session-B,Student 63,xxxxxxxxxx,xxxxxxxx,2.75,1,Advisor 25,No,No,No,No,No,No,Not Applicable(Not Disable),3,Yes,No History,No History
Module 5,Course 5,Session-B,Student 64,xxxxxxxxxx,xxxxxxxx,2,1,Advisor 11,No,No,No,No,Yes,No,Not Applicable(Not Disable),3,Yes,No History,No History
Module 5,Course 5,Session-B,Student 65,xxxxxxxxxx,xxxxxxxx,2.75,1,Advisor 13,No,No,No,No,No,No,Not Applicable(Not Disable),3,Yes,No History,No History
Module 5,Course 5,Session-B,Student 66,xxxxxxxxxx,xxxxxxxx,2.25,1,Advisor 24,No,No,No,No,No,No,Not Applicable(Not Disable),3,Yes,No History,No History
Module 5,Course 5,Session-B,Student 67,xxxxxxxxxx,xxxxxxxx,3.5,1,Advisor 15,No,No,No,No,No,No,Not Applicable(Not Disable),3,Yes,No History,No History
Module 5,Course 5,Session-B,Student 68,xxxxxxxxxx,xxxxxxxx,2.75,1,Advisor 14,No,No,No,No,No,No,Not Applicable(Not Disable),3,Yes,No History,No History
Module 5,Course 5,Session-B,Student 69,xxxxxxxxxx,xxxxxxxx,1.75,1,Advisor 7,No,No,No,No,Yes,No,Not Applicable(Not Disable),3,Yes,No History,No History
Module 5,Course 5,Session-B,Student 70,xxxxxxxxxx,xxxxxxxx,2,1,Advisor 2,No,No,No,No,Yes,No,Not Applicable(Not Disable),2,Yes,No History,No History
Module 5,Course 5,Session-B,Student 71,xxxxxxxxxx,xxxxxxxx,2,1,Advisor 14,No,No,No,No,Yes,No,Not Applicable(Not Disable),3,Yes,Module 21,No History
Module 5,Course 5,Session-B,Student 72,xxxxxxxxxx,xxxxxxxx,2,1,Advisor 20,No,No,No,No,No,No,Not Applicable(Not Disable),3,Yes,No History,No History
