RollNumber,ApplicantName,SessionName,CW1,CW2,ESE
Student 189,xxxxxxxxxx,Session-A,48.5,42.25,91
Student 190,xxxxxxxxxx,Session-A,49.5,40.25,90
Student 191,xxxxxxxxxx,Session-A,49.25,40.75,90
Student 192,xxxxxxxxxx,Session-A,49,41,90
Student 193,xxxxxxxxxx,Session-A,46.5,40.25,87
Student 194,xxxxxxxxxx,Session-A,48.5,37,86
Student 195,xxxxxxxxxx,Session-A,49.5,36.5,86
Student 196,xxxxxxxxxx,Session-A,46.75,37,84
Student 197,xxxxxxxxxx,Session-A,45.5,37.5,83
Student 198,xxxxxxxxxx,Session-A,46.25,36.25,83
Student 199,xxxxxxxxxx,Session-A,45,36,81
Student 200,xxxxxxxxxx,Session-A,48.25,31.5,80
Student 201,xxxxxxxxxx,Session-A,45,32.5,78
Student 202,xxxxxxxxxx,Session-A,43.38,32.5,76
Student 203,xxxxxxxxxx,Session-A,47.75,26,74
Student 204,xxxxxxxxxx,Session-A,42,31.75,74
Student 205,xxxxxxxxxx,Session-A,42.5,27.5,70
Student 206,xxxxxxxxxx,Session-A,40.25,29.25,70
Student 207,xxxxxxxxxx,Session-A,43.75,26.5,70
