RollNumber,ApplicantName,SessionName,CW1,CW2,ESE
Student 90,xxxxxxxxxx,Session-A,45.25,41,86
Student 91,xxxxxxxxxx,Session-A,40,46,86
Student 92,xxxxxxxxxx,Session-A,35.75,44.75,81
Student 93,xxxxxxxxxx,Session-A,45.75,33.5,79
Student 94,xxxxxxxxxx,Session-A,40,38,78
Student 95,xxxxxxxxxx,Session-A,44.75,33.5,78
Student 96,xxxxxxxxxx,Session-A,40.5,36.5,77
Student 97,xxxxxxxxxx,Session-A,42,32,74
Student 98,xxxxxxxxxx,Session-A,41.75,30,72
Student 99,xxxxxxxxxx,Session-A,42,29,71
Student 100,xxxxxxxxxx,Session-A,37.25,33.5,71
Student 101,xxxxxxxxxx,Session-A,39.03,30.5,70
Student 102,xxxxxxxxxx,Session-A,33.25,36.5,70
Student 103,xxxxxxxxxx,Session-A,37.75,32,70
Student 104,xxxxxxxxxx,Session-A,45,23.5,69
Student 105,xxxxxxxxxx,Session-A,41.25,28,69
Student 106,xxxxxxxxxx,Session-A,38.5,30.5,69
Student 107,xxxxxxxxxx,Session-A,34,34,68
Student 108,xxxxxxxxxx,Session-A,43.75,24,68
Student 109,xxxxxxxxxx,Session-A,37.5,30,68
Student 110,xxxxxxxxxx,Session-A,41,27.25,68
Student 111,xxxxxxxxxx,Session-A,35.25,32,67
Student 112,xxxxxxxxxx,Session-A,38,27.75,66
Student 113,xxxxxxxxxx,Session-A,38.25,27.5,66
Student 114,xxxxxxxxxx,Session-A,41.55,23,65
Student 115,xxxxxxxxxx,Session-A,40,24,64
Student 116,xxxxxxxxxx,Session-A,37.5,26,64
Student 117,xxxxxxxxxx,Session-A,37.75,26,64
Student 118,xxxxxxxxxx,Session-A,30.5,33,64
Student 119,xxxxxxxxxx,Session-A,38.09,26,64
Student 120,xxxxxxxxxx,Session-A,39.5,23,63
Student 121,xxxxxxxxxx,Session-A,33.5,29.5,63
Student 122,xxxxxxxxxx,Session-A,40.75,22.5,63
Student 123,xxxxxxxxxx,Session-A,37,26,63
Student 124,xxxxxxxxxx,Session-A,40.08,23,63
