RollNumber,ApplicantName,Played,Paused,Likes,Segment
Student 57,xxxxxxxxxx,1,0,1,0
Student 58,xxxxxxxxxx,1,0,1,0
Student 59,xxxxxxxxxx,1,6,0,0
Student 60,xxxxxxxxxx,1,4,0,0
Student 61,xxxxxxxxxx,1,3,1,0
Student 62,xxxxxxxxxx,1,4,0,0
Student 63,xxxxxxxxxx,1,5,1,0
Student 64,xxxxxxxxxx,1,5,1,0
Student 65,xxxxxxxxxx,1,5,0,0
Student 66,xxxxxxxxxx,1,2,0,0
Student 67,xxxxxxxxxx,2,0,2,1
Student 68,xxxxxxxxxx,1,0,0,0
Student 69,xxxxxxxxxx,1,1,0,0
Student 70,xxxxxxxxxx,1,1,0,0
Student 71,xxxxxxxxxx,5,0,1,4
Student 72,xxxxxxxxxx,2,0,1,1
