RollNumber,ApplicantName,Played,Paused,Likes,Segment
Student 293,xxxxxxxxxx,1,5,3,0
Student 294,xxxxxxxxxx,1,3,3,4
Student 295,xxxxxxxxxx,0,3,0,0
Student 296,xxxxxxxxxx,5,0,1,4
Student 297,xxxxxxxxxx,4,2,3,5
Student 298,xxxxxxxxxx,5,4,1,2
Student 299,xxxxxxxxxx,1,0,3,2
Student 300,xxxxxxxxxx,1,0,3,5
Student 301,xxxxxxxxxx,2,2,0,4
Student 302,xxxxxxxxxx,3,2,1,5
Student 303,xxxxxxxxxx,1,5,1,5
Student 304,xxxxxxxxxx,3,5,3,0
Student 305,xxxxxxxxxx,0,2,1,3
Student 306,xxxxxxxxxx,4,0,1,3
Student 307,xxxxxxxxxx,0,4,2,2
Student 308,xxxxxxxxxx,4,3,2,5
Student 309,xxxxxxxxxx,5,2,3,4
Student 310,xxxxxxxxxx,0,2,2,3
Student 311,xxxxxxxxxx,0,0,1,5
Student 312,xxxxxxxxxx,3,2,0,2
Student 313,xxxxxxxxxx,4,5,2,5
Student 314,xxxxxxxxxx,5,4,2,2
Student 315,xxxxxxxxxx,3,0,1,4
Student 316,xxxxxxxxxx,3,3,3,0
Student 317,xxxxxxxxxx,2,2,0,3
Student 318,xxxxxxxxxx,3,5,0,3
Student 319,xxxxxxxxxx,2,4,2,3
Student 320,xxxxxxxxxx,4,2,1,5
Student 321,xxxxxxxxxx,4,4,3,2
Student 322,xxxxxxxxxx,5,2,2,0
