RollNumber,ApplicantName,Online C,Online O
Student 293,xxxxxxxxxx,251,483
Student 294,xxxxxxxxxx,10,146
Student 295,xxxxxxxxxx,288,401
Student 296,xxxxxxxxxx,154,278
Student 297,xxxxxxxxxx,147,495
Student 298,xxxxxxxxxx,222,227
Student 299,xxxxxxxxxx,411,257
Student 300,xxxxxxxxxx,196,384
Student 301,xxxxxxxxxx,85,376
Student 302,xxxxxxxxxx,249,422
Student 303,xxxxxxxxxx,76,473
Student 304,xxxxxxxxxx,435,153
Student 305,xxxxxxxxxx,369,418
Student 306,xxxxxxxxxx,182,236
Student 307,xxxxxxxxxx,413,318
Student 308,xxxxxxxxxx,6,145
Student 309,xxxxxxxxxx,102,9
Student 310,xxxxxxxxxx,436,397
Student 311,xxxxxxxxxx,296,471
Student 312,xxxxxxxxxx,13,404
Student 313,xxxxxxxxxx,114,195
Student 314,xxxxxxxxxx,455,142
Student 315,xxxxxxxxxx,245,229
Student 316,xxxxxxxxxx,317,203
Student 317,xxxxxxxxxx,320,253
Student 318,xxxxxxxxxx,421,74
Student 319,xxxxxxxxxx,377,133
Student 320,xxxxxxxxxx,349,79
Student 321,xxxxxxxxxx,175,89
Student 322,xxxxxxxxxx,292,338
