RollNumber,ApplicantName,SessionName,CW1,CW2,ESE
Student 160,xxxxxxxxxx,Session-A,74,67.5,65.5
Student 161,xxxxxxxxxx,Session-A,67,69,59.5
Student 162,xxxxxxxxxx,Session-A,72,83,87.5
Student 163,xxxxxxxxxx,Session-A,79,64,64
Student 164,xxxxxxxxxx,Session-A,77,70,71.5
Student 165,xxxxxxxxxx,Session-A,31,56.1,76
Student 166,xxxxxxxxxx,Session-A,70,83,75.5
Student 167,xxxxxxxxxx,Session-A,76,86,60
Student 168,xxxxxxxxxx,Session-A,69,61,66.5
Student 169,xxxxxxxxxx,Session-A,85,81.7,56.5
Student 170,xxxxxxxxxx,Session-A,85,96,74
Student 171,xxxxxxxxxx,Session-A,75,89,52
Student 172,xxxxxxxxxx,Session-A,69,80.8,64
Student 173,xxxxxxxxxx,Session-A,73,79,55.5
Student 174,xxxxxxxxxx,Session-A,52,53,41
Student 175,xxxxxxxxxx,Session-A,65,73,41
Student 176,xxxxxxxxxx,Session-A,65,64,66
Student 177,xxxxxxxxxx,Session-A,77,84,8
Student 178,xxxxxxxxxx,Session-A,80,85,80.5
Student 179,xxxxxxxxxx,Session-A,59,88,70.5
Student 180,xxxxxxxxxx,Session-A,78,80,60.5
