RollNumber,ApplicantName,Played,Paused,Likes,Segment
Student 160,xxxxxxxxxx,1,0,0,0
Student 161,xxxxxxxxxx,1,0,0,0
Student 162,xxxxxxxxxx,1,0,0,0
Student 163,xxxxxxxxxx,1,0,0,0
Student 164,xxxxxxxxxx,1,0,0,0
Student 165,xxxxxxxxxx,3,1,2,2
Student 166,xxxxxxxxxx,1,0,0,0
Student 167,xxxxxxxxxx,2,2,1,1
Student 168,xxxxxxxxxx,3,1,1,2
Student 169,xxxxxxxxxx,8,13,0,7
Student 170,xxxxxxxxxx,5,3,0,4
Student 171,xxxxxxxxxx,5,7,1,4
Student 172,xxxxxxxxxx,1,7,2,0
Student 173,xxxxxxxxxx,1,1,0,0
Student 174,xxxxxxxxxx,1,0,0,0
Student 175,xxxxxxxxxx,1,1,1,0
Student 176,xxxxxxxxxx,6,7,0,5
Student 177,xxxxxxxxxx,1,0,1,0
Student 178,xxxxxxxxxx,3,0,1,2
Student 179,xxxxxxxxxx,1,0,1,0
Student 180,xxxxxxxxxx,1,0,0,0
