RollNumber,ApplicantName,SessionName,CW1,CW2,ESE
Student 293,xxxxxxxxxx,Session-A,56,40,54
Student 294,xxxxxxxxxx,Session-A,38,48,54
Student 295,xxxxxxxxxx,Session-A,62,44,52
Student 296,xxxxxxxxxx,Session-A,62,44,54
Student 297,xxxxxxxxxx,Session-A,48,32,58
Student 298,xxxxxxxxxx,Session-A,54,48,48
Student 299,xxxxxxxxxx,Session-A,24,24,50
Student 300,xxxxxxxxxx,Session-A,58,50,40
Student 301,xxxxxxxxxx,Session-A,52,40,52
Student 302,xxxxxxxxxx,Session-A,32,24,52
Student 303,xxxxxxxxxx,Session-A,22,20,48
Student 304,xxxxxxxxxx,Session-A,52,54,40
Student 305,xxxxxxxxxx,Session-A,62,52,44
Student 306,xxxxxxxxxx,Session-A,64,58,42
Student 307,xxxxxxxxxx,Session-A,56,42,44
Student 308,xxxxxxxxxx,Session-A,48,34,38
Student 309,xxxxxxxxxx,Session-A,48,42,52
Student 310,xxxxxxxxxx,Session-A,60,34,50
Student 311,xxxxxxxxxx,Session-A,66,60,40
Student 312,xxxxxxxxxx,Session-A,48,32,42
Student 313,xxxxxxxxxx,Session-A,66,52,32
Student 314,xxxxxxxxxx,Session-A,44,32,44
Student 315,xxxxxxxxxx,Session-A,44,38,34
Student 316,xxxxxxxxxx,Session-A,66,34,40
Student 317,xxxxxxxxxx,Session-A,64,46,40
Student 318,xxxxxxxxxx,Session-A,40,20,42
Student 319,xxxxxxxxxx,Session-A,54,30,48
Student 320,xxxxxxxxxx,Session-A,44,42,30
Student 321,xxxxxxxxxx,Session-A,78,58,40
Student 322,xxxxxxxxxx,Session-A,62,46,44
