RollNumber,ApplicantName,SessionName,CW1,CW2,ESE
Student 232,xxxxxxxxxx,Session-A,21,23,58
Student 233,xxxxxxxxxx,Session-A,28,25,50
Student 234,xxxxxxxxxx,Session-A,21,24,48
Student 235,xxxxxxxxxx,Session-A,21,24,60
Student 236,xxxxxxxxxx,Session-A,20,23,54
Student 237,xxxxxxxxxx,Session-A,20,23,54
Student 238,xxxxxxxxxx,Session-A,24,25,54
Student 239,xxxxxxxxxx,Session-A,22,23,58
Student 240,xxxxxxxxxx,Session-A,26,25,48
Student 241,xxxxxxxxxx,Session-A,34,27,56
Student 242,xxxxxxxxxx,Session-A,32,26,38
Student 243,xxxxxxxxxx,Session-A,22,24,52
Student 244,xxxxxxxxxx,Session-A,24,24,38
Student 245,xxxxxxxxxx,Session-A,28,25,36
Student 246,xxxxxxxxxx,Session-A,26,24,48
Student 247,xxxxxxxxxx,Session-A,21,22,52
Student 248,xxxxxxxxxx,Session-A,27,25,46
Student 249,xxxxxxxxxx,Session-A,18,24,42
Student 250,xxxxxxxxxx,Session-A,19,25,54
Student 251,xxxxxxxxxx,Session-A,25,26,40
Student 252,xxxxxxxxxx,Session-A,27,26,30
Student 253,xxxxxxxxxx,Session-A,21,22,40
Student 254,xxxxxxxxxx,Session-A,21,26,34
Student 255,xxxxxxxxxx,Session-A,19,26,22
Student 256,xxxxxxxxxx,Session-A,21,27,16
Student 257,xxxxxxxxxx,Session-A,34,36,52
Student 258,xxxxxxxxxx,Session-A,21,24,60
Student 259,xxxxxxxxxx,Session-A,20,23,54
Student 260,xxxxxxxxxx,Session-A,20,23,54
Student 261,xxxxxxxxxx,Session-A,24,25,54
Student 262,xxxxxxxxxx,Session-A,32,32,64
Student 263,xxxxxxxxxx,Session-A,22,21,48
Student 264,xxxxxxxxxx,Session-A,25,26,40
Student 265,xxxxxxxxxx,Session-A,21,24,60
Student 266,xxxxxxxxxx,Session-A,20,23,54
Student 267,xxxxxxxxxx,Session-A,20,23,54
