ModuleCode,ModuleTitle,SessionName,RollNumber,ApplicantName,ApplicantMobile,CGPA,AttemptCount,Advisor,RemoteStudent,Probation,HighRisk,TermExceeded,AtRisk,AtRiskSSC,SpecialNeed,OtherModules,PrerequisiteModules,PlagiarismHistory,MalPracticeHistory
Module 3,Course 3,Session-A,xxxxxxxxxx,xxxxxxxxxx,xxxxxxxx,2,1,Advisor 14,No,No,No,No,No,No,Not Applicable(Not Disable),3,Yes,No History,No History
Module 3,Course 3,Session-A,xxxxxxxxxx,xxxxxxxxxx,xxxxxxxx,2,1,Advisor 6,No,No,No,No,Yes,No,Not Applicable(Not Disable),4,Yes,No History,No History
Module 3,Course 3,Session-A,xxxxxxxxxx,xxxxxxxxxx,xxxxxxxx,2,1,Advisor 19,No,No,No,No,No,No,Not Applicable(Not Disable),3,Yes,No History,No History
Module 3,Course 3,Session-A,xxxxxxxxxx,xxxxxxxxxx,xxxxxxxx,3,1,Advisor 11,No,No,No,No,No,No,Not Applicable(Not Disable),4,Yes,No History,No History
Module 3,Course 3,Session-A,xxxxxxxxxx,xxxxxxxxxx,xxxxxxxx,2,1,Advisor 7,No,No,No,No,No,No,Not Applicable(Not Disable),3,Yes,No History,No History
Module 3,Course 3,Session-A,xxxxxxxxxx,xxxxxxxxxx,xxxxxxxx,3.25,1,Advisor 5,No,No,No,No,Yes,No,Not Applicable(Not Disable),4,Yes,No History,No History
Module 3,Course 3,Session-A,xxxxxxxxxx,xxxxxxxxxx,xxxxxxxx,2.25,1,Advisor 8,No,No,No,No,No,No,Not Applicable(Not Disable),4,Yes,No History,No History
Module 3,Course 3,Session-A,xxxxxxxxxx,xxxxxxxxxx,xxxxxxxx,2.5,1,Advisor 19,No,No,No,No,No,No,Not Applicable(Not Disable),3,Yes,No History,No History
Module 3,Course 3,Session-A,xxxxxxxxxx,xxxxxxxxxx,xxxxxxxx,1.75,1,Advisor 13,No,No,No,No,No,No,Not Applicable(Not Disable),4,Yes,No History,No History
Module 3,Course 3,Session-A,xxxxxxxxxx,xxxxxxxxxx,xxxxxxxx,2,1,Advisor 18,No,No,No,No,Yes,No,Not Applicable(Not Disable),2,Yes,No History,No History
Module 3,Course 3,Session-A,xxxxxxxxxx,xxxxxxxxxx,xxxxxxxx,1.75,1,Advisor 12,No,No,No,No,Yes,No,Not Applicable(Not Disable),2,Yes,Module 7,No History
Module 3,Course 3,Session-A,xxxxxxxxxx,xxxxxxxxxx,xxxxxxxx,2,1,Advisor 15,No,No,No,No,Yes,No,Not Applicable(Not Disable),3,Yes,No History,No History
Module 3,Course 3,Session-A,xxxxxxxxxx,xxxxxxxxxx,xxxxxxxx,2,1,Advisor 10,No,No,No,No,No,No,Not Applicable(Not Disable),3,Yes,No History,Module 15
Module 3,Course 3,Session-A,xxxxxxxxxx,xxxxxxxxxx,xxxxxxxx,2.25,1,Advisor 23,No,No,No,No,Yes,No,Not Applicable(Not Disable),3,Yes,No History,No History
Module 3,Course 3,Session-A,xxxxxxxxxx,xxxxxxxxxx,xxxxxxxx,2.5,1,Advisor 14,No,No,No,No,No,No,Not Applicable(Not Disable),4,Yes,No History,No History
Module 3,Course 3,Session-A,xxxxxxxxxx,xxxxxxxxxx,xxxxxxxx,2,1,Advisor 25,No,No,No,No,No,No,Not Applicable(Not Disable),3,Yes,Module 7,No History
Module 3,Course 3,Session-A,xxxxxxxxxx,xxxxxxxxxx,xxxxxxxx,2.25,1,Advisor 2,No,No,No,No,Yes,No,Not Applicable(Not Disable),3,Yes,No History,No History
Module 3,Course 3,Session-A,xxxxxxxxxx,xxxxxxxxxx,xxxxxxxx,2,1,Advisor 18,No,No,No,No,Yes,No,Not Applicable(Not Disable),3,Yes,No History,No History
Module 3,Course 3,Session-A,xxxxxxxxxx,xxxxxxxxxx,xxxxxxxx,2,1,Advisor 22,No,No,No,No,Yes,No,Not Applicable(Not Disable),1,Yes,No History,No History
Module 3,Course 3,Session-A,xxxxxxxxxx,xxxxxxxxxx,xxxxxxxx,3.25,1,Advisor 10,No,No,No,No,No,No,Not Applicable(Not Disable),4,Yes,No History,No History
Module 3,Course 3,Session-A,xxxxxxxxxx,xxxxxxxxxx,xxxxxxxx,1.75,1,Advisor 10,No,No,No,No,Yes,No,Not Applicable(Not Disable),2,Yes,No History,No History
