RollNumber,ApplicantName,SessionName,CW1,CW2,ESE
Student 73,xxxxxxxxxx,Session-A,79,84,59
Student 74,xxxxxxxxxx,Session-A,68,73,50
Student 75,xxxxxxxxxx,Session-A,77,73,38
Student 76,xxxxxxxxxx,Session-A,77,86,82
Student 77,xxxxxxxxxx,Session-A,49.5,0,Absent
Student 78,xxxxxxxxxx,Session-A,66,76,29
Student 79,xxxxxxxxxx,Session-A,72,75,61
Student 80,xxxxxxxxxx,Session-A,75,87,64
Student 81,xxxxxxxxxx,Session-A,61,70,61
Student 82,xxxxxxxxxx,Session-A,70,83,17
Student 83,xxxxxxxxxx,Session-A,74,65,62
Student 84,xxxxxxxxxx,Session-A,81,88,66
Student 85,xxxxxxxxxx,Session-A,64,77,49
Student 86,xxxxxxxxxx,Session-A,78,84,25
Student 87,xxxxxxxxxx,Session-A,73,74,39
Student 88,xxxxxxxxxx,Session-A,78,80,14
Student 89,xxxxxxxxxx,Session-A,79,80,30
