ModuleCode,ModuleTitle,SessionName,RollNumber,ApplicantName,ApplicantMobile,CGPA,AttemptCount,Advisor,RemoteStudent,Probation,HighRisk,TermExceeded,AtRisk,AtRiskSSC,SpecialNeed,OtherModules,PrerequisiteModules,PlagiarismHistory,MalPracticeHistory
Module 3,Course 3,Session-B,Student 125,xxxxxxxxxx,xxxxxxxx,2,1,Advisor 1,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,Module 12,No History
Module 3,Course 3,Session-B,Student 126,xxxxxxxxxx,xxxxxxxx,2.75,1,Advisor 13,No,No,No,Yes,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 3,Course 3,Session-B,Student 127,xxxxxxxxxx,xxxxxxxx,2.25,1,Advisor 10,No,No,No,Yes,No,No,Not Applicable(Not Disabled),2,Yes,No History,No History
Module 3,Course 3,Session-B,Student 128,xxxxxxxxxx,xxxxxxxx,2.5,1,Advisor 19,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 3,Course 3,Session-B,Student 129,xxxxxxxxxx,xxxxxxxx,2,1,Advisor 11,No,No,No,No,Yes,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 3,Course 3,Session-B,Student 130,xxxxxxxxxx,xxxxxxxx,3,1,Advisor 20,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,Module 14
Module 3,Course 3,Session-B,Student 131,xxxxxxxxxx,xxxxxxxx,3,1,Advisor 19,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 3,Course 3,Session-B,Student 132,xxxxxxxxxx,xxxxxxxx,1.75,1,Advisor 14,No,No,No,No,Yes,No,Not Applicable(Not Disabled),2,Yes,No History,No History
Module 3,Course 3,Session-B,Student 133,xxxxxxxxxx,xxxxxxxx,2.5,1,Advisor 5,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 3,Course 3,Session-B,Student 134,xxxxxxxxxx,xxxxxxxx,2.25,1,Advisor 7,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 3,Course 3,Session-B,Student 135,xxxxxxxxxx,xxxxxxxx,2.5,1,Advisor 21,No,No,No,No,No,No,Not Applicable(Not Disabled),4,Yes,No History,No History
Module 3,Course 3,Session-B,Student 136,xxxxxxxxxx,xxxxxxxx,3,1,Advisor 21,No,No,No,No,No,No,Not Applicable(Not Disabled),4,Yes,No History,No History
Module 3,Course 3,Session-B,Student 137,xxxxxxxxxx,xxxxxxxx,2,2,Advisor 1,No,No,Yes,No,Yes,No,Not Applicable(Not Disabled),1,Yes,No History,No History
Module 3,Course 3,Session-B,Student 138,xxxxxxxxxx,xxxxxxxx,2.25,1,Advisor 12,No,No,No,No,No,No,Not Applicable(Not Disabled),2,Yes,Module 7,No History
Module 3,Course 3,Session-B,Student 139,xxxxxxxxxx,xxxxxxxx,2.25,1,Advisor 22,No,No,No,No,Yes,No,Not Applicable(Not Disabled),4,Yes,No History,No History
Module 3,Course 3,Session-B,Student 140,xxxxxxxxxx,xxxxxxxx,2.5,1,Advisor 2,No,No,No,No,No,No,Not Applicable(Not Disabled),4,Yes,No History,No History
Module 3,Course 3,Session-B,Student 141,xxxxxxxxxx,xxxxxxxx,2.25,1,Advisor 15,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 3,Course 3,Session-B,Student 142,xxxxxxxxxx,xxxxxxxx,2,1,Advisor 22,No,No,No,No,No,No,Not Applicable(Not Disabled),2,Yes,Module 7,No History
Module 3,Course 3,Session-B,Student 143,xxxxxxxxxx,xxxxxxxx,3,1,Advisor 6,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 3,Course 3,Session-B,Student 144,xxxxxxxxxx,xxxxxxxx,2.25,1,Advisor 9,No,No,No,No,Yes,No,Not Applicable(Not Disabled),4,Yes,No History,No History
Module 3,Course 3,Session-B,Student 145,xxxxxxxxxx,xxxxxxxx,3.25,1,Advisor 19,No,No,No,No,No,No,Not Applicable(Not Disabled),4,Yes,No History,No History
Module 3,Course 3,Session-B,Student 146,xxxxxxxxxx,xxxxxxxx,3,1,Advisor 22,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 3,Course 3,Session-B,Student 147,xxxxxxxxxx,xxxxxxxx,2,1,Advisor 2,No,No,No,No,No,No,Not Applicable(Not Disabled),2,Yes,No History,No History
Module 3,Course 3,Session-B,Student 148,xxxxxxxxxx,xxxxxxxx,1.75,1,Advisor 10,No,No,Yes,No,Yes,Yes,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 3,Course 3,Session-B,Student 149,xxxxxxxxxx,xxxxxxxx,2.75,1,Advisor 19,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 3,Course 3,Session-B,Student 150,xxxxxxxxxx,xxxxxxxx,2,1,Advisor 22,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 3,Course 3,Session-B,Student 151,xxxxxxxxxx,xxxxxxxx,2,3,Advisor 11,No,No,Yes,No,Yes,No,Not Applicable(Not Disabled),3,Yes,Module 13,Module 13
Module 3,Course 3,Session-B,Student 152,xxxxxxxxxx,xxxxxxxx,1.75,2,Advisor 10,No,No,No,No,Yes,No,Not Applicable(Not Disabled),2,Yes,Module 10,No History
Module 3,Course 3,Session-B,Student 153,xxxxxxxxxx,xxxxxxxx,3,1,Advisor 22,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 3,Course 3,Session-B,Student 154,xxxxxxxxxx,xxxxxxxx,1.75,1,Advisor 10,No,No,No,No,Yes,Yes,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 3,Course 3,Session-B,Student 155,xxxxxxxxxx,xxxxxxxx,2,1,Advisor 16,No,No,No,No,No,No,Not Applicable(Not Disabled),4,Yes,No History,No History
Module 3,Course 3,Session-B,Student 156,xxxxxxxxxx,xxxxxxxx,2,1,Advisor 14,No,No,No,No,No,No,Not Applicable(Not Disabled),4,Yes,No History,No History
Module 3,Course 3,Session-B,Student 157,xxxxxxxxxx,xxxxxxxx,2.25,1,Advisor 15,No,No,No,No,No,No,Not Applicable(Not Disabled),4,Yes,No History,No History
Module 3,Course 3,Session-B,Student 158,xxxxxxxxxx,xxxxxxxx,1.75,1,Advisor 17,No,No,No,No,Yes,Yes,Not Applicable(Not Disabled),2,Yes,No History,No History
Module 3,Course 3,Session-B,Student 159,xxxxxxxxxx,xxxxxxxx,2,1,Advisor 20,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
