RollNumber,ApplicantName,Played,Paused,Likes,Segment
Student 73,xxxxxxxxxx,1,0,0,0
Student 74,xxxxxxxxxx,1,0,1,0
Student 75,xxxxxxxxxx,1,0,1,0
Student 76,xxxxxxxxxx,2,0,0,1
Student 77,xxxxxxxxxx,1,0,1,0
Student 78,xxxxxxxxxx,1,0,0,0
Student 79,xxxxxxxxxx,1,0,1,0
Student 80,xxxxxxxxxx,1,0,1,0
Student 81,xxxxxxxxxx,1,0,0,0
Student 82,xxxxxxxxxx,1,0,1,0
Student 83,xxxxxxxxxx,3,1,2,2
Student 84,xxxxxxxxxx,1,0,1,0
Student 85,xxxxxxxxxx,2,2,1,1
Student 86,xxxxxxxxxx,3,1,1,2
Student 87,xxxxxxxxxx,8,13,0,7
Student 88,xxxxxxxxxx,5,3,0,4
Student 89,xxxxxxxxxx,5,7,1,4
