ModuleCode,ModuleTitle,SessionName,RollNumber,ApplicantName,ApplicantMobile,CGPA,AttemptCount,Advisor,RemoteStudent,Probation,HighRisk,TermExceeded,AtRisk,AtRiskSSC,SpecialNeed,OtherModules,PrerequisiteModules,PlagiarismHistory,MalPracticeHistory
Module 4,Course 4,Session-A,Student 90,xxxxxxxxxx,xxxxxxxx,2.25,1,Advisor 24,No,Yes,No,No,Yes,No,Not Applicable(Not Disabled),2,Yes,Module 17,No History
Module 4,Course 4,Session-A,Student 91,xxxxxxxxxx,xxxxxxxx,2,3,Advisor 15,No,Yes,Yes,No,Yes,No,Not Applicable(Not Disabled),1,Yes,No History,No History
Module 4,Course 4,Session-A,Student 92,xxxxxxxxxx,xxxxxxxx,2.75,1,Advisor 24,No,No,No,No,No,No,Not Applicable(Not Disabled),2,Yes,Module 18,No History
Module 4,Course 4,Session-A,Student 93,xxxxxxxxxx,xxxxxxxx,3,1,Advisor 8,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 4,Course 4,Session-A,Student 94,xxxxxxxxxx,xxxxxxxx,2.75,2,Advisor 21,No,No,No,No,Yes,No,Not Applicable(Not Disabled),3,Yes,Module 4,No History
Module 4,Course 4,Session-A,Student 95,xxxxxxxxxx,xxxxxxxx,4,1,Advisor 14,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 4,Course 4,Session-A,Student 96,xxxxxxxxxx,xxxxxxxx,4,1,Advisor 22,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 4,Course 4,Session-A,Student 97,xxxxxxxxxx,xxxxxxxx,2.75,1,Advisor 16,No,Yes,No,No,Yes,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 4,Course 4,Session-A,Student 98,xxxxxxxxxx,xxxxxxxx,3.25,1,Advisor 4,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 4,Course 4,Session-A,Student 99,xxxxxxxxxx,xxxxxxxx,3,1,Advisor 25,No,No,No,No,No,No,Not Applicable(Not Disabled),2,Yes,No History,No History
