RollNumber,ApplicantName,SessionName,CW1,CW2,ESE
Student 208,xxxxxxxxxx,Session-A,29,34,63
Student 209,xxxxxxxxxx,Session-A,18,36,54
Student 210,xxxxxxxxxx,Session-A,16,18,34
Student 211,xxxxxxxxxx,Session-A,15,28,43
Student 212,xxxxxxxxxx,Session-A,20,34,54
Student 213,xxxxxxxxxx,Session-A,17,24,41
Student 214,xxxxxxxxxx,Session-A,11,28,40
Student 215,xxxxxxxxxx,Session-A,16,24,40
Student 216,xxxxxxxxxx,Session-A,26,33,59
Student 217,xxxxxxxxxx,Session-A,24,36,61
Student 218,xxxxxxxxxx,Session-A,19,31,50
Student 219,xxxxxxxxxx,Session-A,23,31,53
Student 220,xxxxxxxxxx,Session-A,21,32,53
Student 221,xxxxxxxxxx,Session-A,24,34,58
Student 222,xxxxxxxxxx,Session-A,23,30,53
Student 223,xxxxxxxxxx,Session-A,19,18,36
Student 224,xxxxxxxxxx,Session-A,26,33,59
Student 225,xxxxxxxxxx,Session-A,19,26,45
Student 226,xxxxxxxxxx,Session-A,27,37,64
Student 227,xxxxxxxxxx,Session-A,24,32,55
Student 228,xxxxxxxxxx,Session-A,26,33,59
Student 229,xxxxxxxxxx,Session-A,16,18,34
Student 230,xxxxxxxxxx,Session-A,27,37,64
Student 231,xxxxxxxxxx,Session-A,18,36,54
