RollNumber,ApplicantName,Played,Paused,Likes,Segment
Student 90,xxxxxxxxxx,1,7,2,0
Student 91,xxxxxxxxxx,1,1,0,0
Student 92,xxxxxxxxxx,1,0,1,0
Student 93,xxxxxxxxxx,1,1,1,0
Student 94,xxxxxxxxxx,6,7,0,5
Student 95,xxxxxxxxxx,1,0,1,0
Student 96,xxxxxxxxxx,3,0,1,2
Student 97,xxxxxxxxxx,1,0,1,0
Student 98,xxxxxxxxxx,1,0,0,0
Student 99,xxxxxxxxxx,1,0,1,0
Student 100,xxxxxxxxxx,1,6,1,0
Student 101,xxxxxxxxxx,1,4,1,0
Student 102,xxxxxxxxxx,1,3,1,0
Student 103,xxxxxxxxxx,1,4,1,0
Student 104,xxxxxxxxxx,1,5,1,0
Student 105,xxxxxxxxxx,1,5,1,0
Student 106,xxxxxxxxxx,1,5,1,0
Student 107,xxxxxxxxxx,1,2,1,0
Student 108,xxxxxxxxxx,2,0,2,1
Student 109,xxxxxxxxxx,1,0,1,0
Student 110,xxxxxxxxxx,1,1,0,0
Student 111,xxxxxxxxxx,1,1,0,0
Student 112,xxxxxxxxxx,5,0,1,4
Student 113,xxxxxxxxxx,2,0,0,1
Student 114,xxxxxxxxxx,1,0,1,0
Student 115,xxxxxxxxxx,1,0,1,0
Student 116,xxxxxxxxxx,1,0,0,0
Student 117,xxxxxxxxxx,2,0,0,1
Student 118,xxxxxxxxxx,1,0,1,0
Student 119,xxxxxxxxxx,1,0,1,0
Student 120,xxxxxxxxxx,1,0,0,0
Student 121,xxxxxxxxxx,1,0,1,0
Student 122,xxxxxxxxxx,1,0,0,0
Student 123,xxxxxxxxxx,1,0,0,0
Student 124,xxxxxxxxxx,3,1,2,2
