ModuleCode,ModuleTitle,SessionName,RollNumber,ApplicantName,ApplicantMobile,CGPA,AttemptCount,Advisor,RemoteStudent,Probation,HighRisk,TermExceeded,AtRisk,AtRiskSSC,SpecialNeed,OtherModules,PrerequisiteModules,PlagiarismHistory,MalPracticeHistory
Module 1,Course 1,Session-A,Student 221,xxxxxxxxxx,xxxxxxxx,2.5,1,Advisor  16,No,No,No,No,No,No,Not Applicable(Not Disabled),2,No,Module 3,No History
Module 1,Course 1,Session-A,Student 208,xxxxxxxxxx,xxxxxxxx,3.25,1,Advisor  25,No,No,No,No,No,No,Not Applicable(Not Disabled),3,No,No History,No History
Module 1,Course 1,Session-A,Student 209,xxxxxxxxxx,xxxxxxxx,2.5,1,Advisor  3,No,No,No,No,No,No,Not Applicable(Not Disabled),2,No,No History,Module 2
Module 1,Course 1,Session-A,Student 210,xxxxxxxxxx,xxxxxxxx,2.5,1,Advisor  8,No,No,No,No,No,No,Not Applicable(Not Disabled),3,No,No History,No History
Module 1,Course 1,Session-A,Student 211,xxxxxxxxxx,xxxxxxxx,2.5,1,Advisor  14,No,No,No,No,No,No,Not Applicable(Not Disabled),3,No,No History,No History
Module 1,Course 1,Session-A,Student 212,xxxxxxxxxx,xxxxxxxx,2.5,1,Advisor  9,No,No,No,No,No,No,Not Applicable(Not Disabled),3,No,No History,No History
Module 1,Course 1,Session-A,Student 213,xxxxxxxxxx,xxxxxxxx,2.25,1,Advisor  2,No,No,No,No,No,No,Not Applicable(Not Disabled),2,No,No History,No History
Module 1,Course 1,Session-A,Student 214,xxxxxxxxxx,xxxxxxxx,3.25,1,Advisor  8,No,No,No,No,No,No,Not Applicable(Not Disabled),2,No,No History,No History
Module 1,Course 1,Session-A,Student 215,xxxxxxxxxx,xxxxxxxx,1.75,1,Advisor  18,No,No,No,No,Yes,No,Not Applicable(Not Disabled),2,No,Module 2,No History
Module 1,Course 1,Session-A,Student 216,xxxxxxxxxx,xxxxxxxx,3.25,1,Advisor  5,No,No,No,No,No,No,Not Applicable(Not Disabled),2,No,No History,No History
Module 1,Course 1,Session-A,Student 217,xxxxxxxxxx,xxxxxxxx,1.75,2,Advisor  1,No,No,No,No,Yes,No,Not Applicable(Not Disabled),2,No,Module 11,No History
Module 1,Course 1,Session-A,Student 218,xxxxxxxxxx,xxxxxxxx,2.5,1,Advisor  11,No,No,No,No,No,No,Not Applicable(Not Disabled),2,No,No History,No History
Module 1,Course 1,Session-A,Student 219,xxxxxxxxxx,xxxxxxxx,2.75,1,Advisor  12,No,No,No,No,No,No,Not Applicable(Not Disabled),2,No,No History,No History
Module 1,Course 1,Session-A,Student 220,xxxxxxxxxx,xxxxxxxx,2.25,1,Advisor  17,No,No,No,No,No,No,Not Applicable(Not Disabled),2,No,No History,No History
Module 1,Course 1,Session-A,Student 221,xxxxxxxxxx,xxxxxxxx,2.5,1,Advisor  11,No,No,No,No,No,No,Not Applicable(Not Disabled),2,No,Module 3,No History
Module 1,Course 1,Session-A,Student 222,xxxxxxxxxx,xxxxxxxx,2.75,1,Advisor  14,No,No,No,No,No,No,Not Applicable(Not Disabled),2,No,No History,No History
Module 1,Course 1,Session-A,Student 223,xxxxxxxxxx,xxxxxxxx,2,1,Advisor  23,No,No,No,No,Yes,No,Not Applicable(Not Disabled),2,No,Module 4,No History
Module 1,Course 1,Session-A,Student 224,xxxxxxxxxx,xxxxxxxx,3.25,1,Advisor  14,No,No,No,No,No,No,Not Applicable(Not Disabled),2,No,Module 6,No History
Module 1,Course 1,Session-A,Student 225,xxxxxxxxxx,xxxxxxxx,1.75,2,Advisor  15,No,Yes,No,No,Yes,No,Not Applicable(Not Disabled),1,No,Module 9,No History
Module 1,Course 1,Session-A,Student 226,xxxxxxxxxx,xxxxxxxx,2,1,Advisor  19,No,No,No,No,No,No,Not Applicable(Not Disabled),2,No,Module 12,No History
Module 1,Course 1,Session-A,Student 227,xxxxxxxxxx,xxxxxxxx,1.75,1,Advisor  13,No,No,No,No,Yes,No,Not Applicable(Not Disabled),2,No,No History,No History
Module 1,Course 1,Session-A,Student 228,xxxxxxxxxx,xxxxxxxx,2.5,1,Advisor  23,No,No,No,No,No,No,Not Applicable(Not Disabled),3,No,No History,No History
Module 1,Course 1,Session-A,Student 229,xxxxxxxxxx,xxxxxxxx,3.75,1,Advisor  15,No,No,No,No,No,No,Not Applicable(Not Disabled),2,No,No History,No History
Module 1,Course 1,Session-A,Student 230,xxxxxxxxxx,xxxxxxxx,3.25,1,Advisor  2,No,No,No,No,No,No,Not Applicable(Not Disabled),2,No,No History,No History
Module 1,Course 1,Session-A,Student 231,xxxxxxxxxx,xxxxxxxx,2.5,1,Advisor  25,No,No,No,No,No,No,Not Applicable(Not Disabled),2,No,No History,No History
